position	players	withId
C	William Contreras	William Contreras (661388)
1B	Freddie Freeman	Freddie Freeman (518692)
2B	Jonathan India	Jonathan India (663697)
3B	Jose Ramirez	Jose Ramirez (608070)
SS	Bo Bichette	Bo Bichette (666182)
MI	Orlando Arcia	Orlando Arcia (606115)
CI	Gunnar Henderson	Gunnar Henderson (683002)
OF	Byron Buxton	Byron Buxton (621439)
OF	Jarren Duran	Jarren Duran (680776)
OF	Luis Robert Jr.	Luis Robert Jr. (673357)
OF	Seiya Suzuki	Seiya Suzuki (673548)
DH	Amed Rosario	Amed Rosario (642708)
DH	Brandon Drury	Brandon Drury (592273)
DH	Ezequiel Duran	Ezequiel Duran (677649)
DH	Kris Bryant	Kris Bryant (592178)
BAT BENCH	Adam Duvall	Adam Duvall (594807)
BAT BENCH	Alex Kirilloff	Alex Kirilloff (666135)
BAT BENCH	Eloy Jimenez	Eloy Jimenez (650391)
BAT BENCH	Geraldo Perdomo	Geraldo Perdomo (672695)
BAT BENCH	Nick Senzel	Nick Senzel (669222)
SP	Blake Snell	Blake Snell (605483)
SP	Chris Bassitt	Chris Bassitt (605135)
SP	Chris Sale	Chris Sale (519242)
SP	Clayton Kershaw	Clayton Kershaw (477132)
SP	Dylan Cease	Dylan Cease (656302)
SP	Sonny Gray	Sonny Gray (543243)
RP	Emmanuel Clase	Emmanuel Clase (661403)
RP	Josh Hader	Josh Hader (623352)
OP	A.J. Puk	A.J. Puk (640462)
OP	Hunter Brown	Hunter Brown (686613)
OP	Josiah Gray	Josiah Gray (680686)
OP	Kyle Gibson	Kyle Gibson (502043)
OP	Louie Varland	Louie Varland (686973)
PITCH BENCH	Kyle Freeland	Kyle Freeland (607536)
PITCH BENCH	Martin Perez	Martin Perez (527048)
