position	players	withId
C	Max Stassi	Max Stassi (545358)
1B	Jared Walsh	Jared Walsh (665120)
2B	DJ LeMahieu	DJ LeMahieu (518934)
3B	Gio Urshela	Gio Urshela (570482)
SS	Francisco Lindor	Francisco Lindor (596019)
MI	Ryan McMahon	Ryan McMahon (641857)
CI	Austin Riley	Austin Riley (663586)
OF	Bryce Harper	Bryce Harper (547180)
OF	Mookie Betts	Mookie Betts (605141)
OF	Nick Castellanos	Nick Castellanos (592206)
OF	Shohei Ohtani	Shohei Ohtani (660271)
DH	Adam Frazier	Adam Frazier (624428)
DH	Alex Verdugo	Alex Verdugo (657077)
DH	Cedric Mullins	Cedric Mullins (656775)
DH	Bobby Bradley	Bobby Bradley (656252)
BAT BENCH	Brandon Crawford	Brandon Crawford (543063)
BAT BENCH	Trevor Larnach	Trevor Larnach (663616)
SP	German Marquez	German Marquez (608566)
SP	Julio Urias	Julio Urias (628711)
SP	Max Fried	Max Fried (608331)
SP	Nick Pivetta	Nick Pivetta (601713)
SP	Andrew Heaney	Andrew Heaney (571760)
SP	Luis Garcia	Luis Garcia (677651)
RP	Josh Hader	Josh Hader (623352)
RP	Liam Hendriks	Liam Hendriks (521230)
OP	Josh Fleming	Josh Fleming (676596)
OP	Taylor Rogers	Taylor Rogers (573124)
OP	James Kaprielian	James Kaprielian (621076)
OP	Caleb Smith	Caleb Smith (592761)
OP	Dinelson Lamet	Dinelson Lamet (659275)
PITCH BENCH	Zach Plesac	Zach Plesac (668676)
PITCH BENCH	Frankie Montas	Frankie Montas (593423)
