position	players	withId
C	Willson Contreras	Willson Contreras (575929)
1B	Paul Goldschmidt	Paul Goldschmidt (502671)
2B	Jose Altuve	Jose Altuve (514888)
3B	Jose Ramirez	Jose Ramirez (608070)
SS	Tim Anderson	Tim Anderson (641313)
MI	Esteury Ruiz	Esteury Ruiz (665923)
CI	Austin Riley	Austin Riley (663586)
OF	Alex Kirilloff	Alex Kirilloff (666135)
OF	Jesse Winker	Jesse Winker (608385)
OF	Mookie Betts	Mookie Betts (605141)
OF	Lourdes Gurriel Jr.	Lourdes Gurriel Jr. (666971)
DH	William Contreras	William Contreras (661388)
DH	Matt Carpenter	Matt Carpenter (572761)
DH	Andrew Benintendi	Andrew Benintendi (643217)
DH	Harold Ramirez	Harold Ramirez (623912)
BAT BENCH	Jeff McNeil	Jeff McNeil (643446)
BAT BENCH	Marcell Ozuna	Marcell Ozuna (542303)
BAT BENCH	Trevor Story	Trevor Story (596115)
BAT BENCH	Austin Hays	Austin Hays (669720)
BAT BENCH	J.P. Crawford	J.P. Crawford (641487)
SP	Frankie Montas	Frankie Montas (593423)
SP	Pablo Lopez	Pablo Lopez (641154)
SP	Tarik Skubal	Tarik Skubal (669373)
SP	Zack Wheeler	Zack Wheeler (554430)
SP	Chris Sale	Chris Sale (519242)
SP	Brady Singer	Brady Singer (663903)
RP	Edwin Diaz	Edwin Diaz (621242)
RP	Josh Hader	Josh Hader (623352)
OP	Jorge Lopez	Jorge Lopez (605347)
OP	Raisel Iglesias	Raisel Iglesias (628452)
OP	Martin Perez	Martin Perez (527048)
OP	Johnny Cueto	Johnny Cueto (456501)
OP	Merrill Kelly	Merrill Kelly (518876)
PITCH BENCH	Garrett Whitlock	Garrett Whitlock (676477)
