position	players	withId
C	Sean Murphy	Sean Murphy (669221)
1B	Christian Walker	Christian Walker (572233)
2B	Jose Altuve	Jose Altuve (514888)
3B	Josh Jung	Josh Jung (673962)
SS	Xander Bogaerts	Xander Bogaerts (593428)
MI	Anthony Volpe	Anthony Volpe (683011)
CI	Triston Casas	Triston Casas (671213)
OF	Corbin Carroll	Corbin Carroll (682998)
OF	Fernando Tatis Jr.	Fernando Tatis Jr. (665487)
OF	Jordan Walker	Jordan Walker (691023)
OF	Spencer Steer	Spencer Steer (668715)
DH	Jackson Merrill	Jackson Merrill (701538)
DH	Jonathan India	Jonathan India (663697)
DH	Jorge Polanco	Jorge Polanco (593871)
DH	Justin Turner	Justin Turner (457759)
BAT BENCH	Brendan Donovan	Brendan Donovan (680977)
BAT BENCH	Josh Bell	Josh Bell (605137)
BAT BENCH	Mark Canha	Mark Canha (592192)
BAT BENCH	MJ Melendez	MJ Melendez (669004)
SP	Jesús Luzardo	Jesús Luzardo (666200)
SP	Justin Steele	Justin Steele (657006)
SP	Max Fried	Max Fried (608331)
SP	Pablo López	Pablo López (641154)
SP	Bryce Miller	Bryce Miller (682243)
SP	Ryan Pepiot	Ryan Pepiot (686752)
RP	David Robertson	David Robertson (502085)
RP	Ryan Helsley	Ryan Helsley (664854)
OP	Aaron Civale	Aaron Civale (650644)
OP	José Alvarado	José Alvarado (621237)
OP	Kenta Maeda	Kenta Maeda (628317)
OP	Michael Wacha	Michael Wacha (608379)
OP	Tyler Wells	Tyler Wells (669330)
PITCH BENCH	Kyle Finnegan	Kyle Finnegan (640448)
