position	players	withId
C	Willson Contreras	Willson Contreras (575929)
1B	Ryan Mountcastle	Ryan Mountcastle (663624)
2B	Andres Gimenez	Andres Gimenez (665926)
3B	Rafael Devers	Rafael Devers (646240)
SS	Tim Anderson	Tim Anderson (641313)
MI	Nico Hoerner	Nico Hoerner (663538)
CI	Ke'Bryan Hayes	Ke'Bryan Hayes (663647)
OF	Kyle Tucker	Kyle Tucker (663656)
OF	Michael Harris II	Michael Harris II (671739)
OF	Mike Trout	Mike Trout (545361)
OF	Randy Arozarena	Randy Arozarena (668227)
DH	Brandon Belt	Brandon Belt (474832)
DH	Joc Pederson	Joc Pederson (592626)
DH	Michael Conforto	Michael Conforto (624424)
DH	Thairo Estrada	Thairo Estrada (642731)
BAT BENCH	Josh Rojas	Josh Rojas (668942)
BAT BENCH	Lane Thomas	Lane Thomas (657041)
BAT BENCH	Shea Langeliers	Shea Langeliers (669127)
SP	Dustin May	Dustin May (669160)
SP	Julio Urias	Julio Urias (628711)
SP	Logan Gilbert	Logan Gilbert (669302)
SP	Nick Lodolo	Nick Lodolo (666157)
SP	Jon Gray	Jon Gray (592351)
RP	Adam Ottavino	Adam Ottavino (493603)
RP	David Bednar	David Bednar (670280)
OP	Carlos Estevez	Carlos Estevez (608032)
OP	Luis Garcia	Luis Garcia (677651)
OP	Jose Suarez	Jose Suarez (660761)
OP	Reid Detmers	Reid Detmers (672282)
OP	Taijuan Walker	Taijuan Walker (592836)
PITCH BENCH	Drey Jameson	Drey Jameson (686753)
PITCH BENCH	Jimmy Herget	Jimmy Herget (623474)
