position	players	withId
C	Eric Haase	Eric Haase (606992)
1B	Eric Hosmer	Eric Hosmer (543333)
2B	Jonathan India	Jonathan India (663697)
3B	Rafael Devers	Rafael Devers (646240)
SS	Bo Bichette	Bo Bichette (666182)
MI	Jonathan Schoop	Jonathan Schoop (570731)
CI	Kyle Seager	Kyle Seager (572122)
OF	Austin Meadows	Austin Meadows (640457)
OF	Giancarlo Stanton	Giancarlo Stanton (519317)
OF	J.D. Martinez	J.D. Martinez (502110)
OF	Tommy Pham	Tommy Pham (502054)
DH	Avisail Garcia	Avisail Garcia (541645)
DH	Hunter Renfroe	Hunter Renfroe (592669)
DH	Ke'Bryan Hayes	Ke'Bryan Hayes (663647)
DH	Garrett Cooper	Garrett Cooper (643265)
BAT BENCH	Byron Buxton	Byron Buxton (621439)
BAT BENCH	Corey Seager	Corey Seager (608369)
BAT BENCH	Yasmani Grandal	Yasmani Grandal (518735)
SP	Dylan Cease	Dylan Cease (656302)
SP	Jacob deGrom	Jacob deGrom (594798)
SP	Max Scherzer	Max Scherzer (453286)
SP	Trevor Rogers	Trevor Rogers (669432)
SP	Patrick Sandoval	Patrick Sandoval (663776)
SP	Andrew Heaney	Andrew Heaney (571760)
RP	Alex Reyes	Alex Reyes (621052)
RP	Diego Castillo	Diego Castillo (650895)
OP	Jordan Montgomery	Jordan Montgomery (656756)
OP	Kyle Muller	Kyle Muller (666205)
OP	Lou Trivino	Lou Trivino (642152)
OP	Tylor Megill	Tylor Megill (656731)
OP	Steven Matz	Steven Matz (571927)
PITCH BENCH	Chris Paddack	Chris Paddack (663978)
PITCH BENCH	Domingo German	Domingo German (593334)
