position	players	withId
C	Ryan Jeffers	Ryan Jeffers (680777)
1B	Mark Vientos	Mark Vientos (668901)
2B	Ryan McMahon	Ryan McMahon (641857)
3B	Jordan Westburg	Jordan Westburg (676059)
SS	Willi Castro	Willi Castro (650489)
MI	Brooks Lee	Brooks Lee (686797)
CI	Nolan Gorman	Nolan Gorman (669357)
OF	Aaron Judge	Aaron Judge (592450)
OF	Luis Robert Jr.	Luis Robert Jr. (673357)
OF	Yordan Alvarez	Yordan Alvarez (670541)
OF	Wyatt Langford	Wyatt Langford (694671)
DH	Daulton Varsho	Daulton Varsho (662139)
DH	Byron Buxton	Byron Buxton (621439)
DH	Ben Rice	Ben Rice (700250)
DH	Carlos Santana	Carlos Santana (467793)
BAT BENCH	José Caballero	José Caballero (676609)
BAT BENCH	TJ Friedl	TJ Friedl (670770)
BAT BENCH	Heston Kjerstad	Heston Kjerstad (677008)
BAT BENCH	Jose Siri	Jose Siri (642350)
BAT BENCH	Andy Pages	Andy Pages (681624)
SP	Aaron Nola	Aaron Nola (605400)
SP	Carlos Rodón	Carlos Rodón (607074)
SP	Dylan Cease	Dylan Cease (656302)
SP	Garrett Crochet	Garrett Crochet (676979)
SP	Joe Ryan	Joe Ryan (657746)
SP	Luis Castillo	Luis Castillo (622491)
RP	Andrés Muñoz	Andrés Muñoz (662253)
RP	Evan Phillips	Evan Phillips (623465)
OP	Gavin Stone	Gavin Stone (694813)
OP	Hunter Brown	Hunter Brown (686613)
OP	Jeff Hoffman	Jeff Hoffman (656546)
OP	Zach Eflin	Zach Eflin (621107)
OP	Spencer Schwellenbach	Spencer Schwellenbach (680885)
PITCH BENCH	Jared Jones	Jared Jones (683003)
PITCH BENCH	Ronel Blanco	Ronel Blanco (669854)
