position	players	withId
C	J.T. Realmuto	J.T. Realmuto (592663)
1B	Rowdy Tellez	Rowdy Tellez (642133)
2B	Mookie Betts	Mookie Betts (605141)
3B	Austin Riley	Austin Riley (663586)
SS	Jon Berti	Jon Berti (542932)
MI	Brandon Lowe	Brandon Lowe (664040)
CI	J.D. Davis	J.D. Davis (605204)
OF	Hunter Renfroe	Hunter Renfroe (592669)
OF	Juan Soto	Juan Soto (665742)
OF	Lars Nootbaar	Lars Nootbaar (663457)
OF	Cody Bellinger	Cody Bellinger (641355)
DH	Brandon Marsh	Brandon Marsh (669016)
DH	Jarred Kelenic	Jarred Kelenic (672284)
DH	Josh Lowe	Josh Lowe (666139)
DH	Nolan Gorman	Nolan Gorman (669357)
BAT BENCH	Brett Baty	Brett Baty (683146)
BAT BENCH	Corey Seager	Corey Seager (608369)
SP	George Kirby	George Kirby (669923)
SP	Lance Lynn	Lance Lynn (458681)
SP	Zack Wheeler	Zack Wheeler (554430)
SP	Nathan Eovaldi	Nathan Eovaldi (543135)
SP	Seth Lugo	Seth Lugo (607625)
SP	Mitch Keller	Mitch Keller (656605)
RP	Felix Bautista	Felix Bautista (642585)
RP	Aroldis Chapman	Aroldis Chapman (547973)
OP	Johan Oviedo	Johan Oviedo (670912)
OP	Grayson Rodriguez	Grayson Rodriguez (680570)
OP	Taj Bradley	Taj Bradley (671737)
OP	Eduardo Rodriguez	Eduardo Rodriguez (593958)
OP	Reynaldo Lopez	Reynaldo Lopez (625643)
PITCH BENCH	Steven Matz	Steven Matz (571927)
