position	players	withId
C	Mitch Garver	Mitch Garver (641598)
1B	Matt Olson	Matt Olson (621566)
2B	Brandon Lowe	Brandon Lowe (664040)
3B	Matt Chapman	Matt Chapman (656305)
SS	Trevor Story	Trevor Story (596115)
MI	Brandon Crawford	Brandon Crawford (543063)
CI	Jesus Aguilar	Jesus Aguilar (542583)
OF	Adolis Garcia	Adolis Garcia (666969)
OF	Joey Gallo	Joey Gallo (608336)
OF	Ramon Laureano	Ramon Laureano (657656)
OF	Randy Arozarena	Randy Arozarena (668227)
DH	Adam Duvall	Adam Duvall (594807)
DH	Jazz Chisholm Jr.	Jazz Chisholm Jr. (665862)
DH	Jorge Polanco	Jorge Polanco (593871)
DH	Enrique Hernandez	Enrique Hernandez (571771)
BAT BENCH	Adalberto Mondesi	Adalberto Mondesi (609275)
BAT BENCH	Kyle Schwarber	Kyle Schwarber (656941)
BAT BENCH	Luis Robert	Luis Robert (673357)
BAT BENCH	Josh Donaldson	Josh Donaldson (518626)
SP	Charlie Morton	Charlie Morton (450203)
SP	Gerrit Cole	Gerrit Cole (543037)
SP	Kyle Gibson	Kyle Gibson (502043)
SP	Lance McCullers Jr.	Lance McCullers Jr. (621121)
SP	Robbie Ray	Robbie Ray (592662)
SP	Wade Miley	Wade Miley (489119)
RP	Ryan Pressly	Ryan Pressly (519151)
RP	Matt Barnes	Matt Barnes (598264)
OP	Cole Irvin	Cole Irvin (608344)
OP	Dylan Floro	Dylan Floro (571670)
OP	Joe Ross	Joe Ross (605452)
OP	Josiah Gray	Josiah Gray (680686)
OP	Tyler Clippard	Tyler Clippard (461325)
