position	players	withId
C	Shea Langeliers	Shea Langeliers (669127)
1B	Paul Goldschmidt	Paul Goldschmidt (502671)
2B	Bryson Stott	Bryson Stott (681082)
3B	Jeimer Candelario	Jeimer Candelario (600869)
SS	Francisco Lindor	Francisco Lindor (596019)
MI	Masyn Winn	Masyn Winn (691026)
CI	Alex Bregman	Alex Bregman (608324)
OF	Brandon Nimmo	Brandon Nimmo (607043)
OF	George Springer	George Springer (543807)
OF	Lourdes Gurriel Jr.	Lourdes Gurriel Jr. (666971)
OF	Steven Kwan	Steven Kwan (680757)
DH	Austin Riley	Austin Riley (663586)
DH	Eugenio Suárez	Eugenio Suárez (553993)
DH	Michael Busch	Michael Busch (683737)
DH	JJ Bleday	JJ Bleday (668709)
BAT BENCH	J.T. Realmuto	J.T. Realmuto (592663)
BAT BENCH	Bo Bichette	Bo Bichette (666182)
SP	Andrew Abbott	Andrew Abbott (671096)
SP	George Kirby	George Kirby (669923)
SP	Jordan Montgomery	Jordan Montgomery (656756)
SP	Mitch Keller	Mitch Keller (656605)
SP	Luis L. Ortiz	Luis L. Ortiz (682847)
SP	Alec Marsh	Alec Marsh (679525)
RP	Josh Hader	Josh Hader (623352)
RP	Kenley Jansen	Kenley Jansen (445276)
OP	Tanner Scott	Tanner Scott (656945)
OP	Hunter Strickland	Hunter Strickland (519326)
OP	Trevor Rogers	Trevor Rogers (669432)
OP	DJ Herz	DJ Herz (687792)
OP	Max Meyer	Max Meyer (676974)
PITCH BENCH	Reid Detmers	Reid Detmers (672282)
PITCH BENCH	Landon Knack	Landon Knack (689017)
PITCH BENCH	Reese Olson	Reese Olson (681857)
PITCH BENCH	Ranger Suárez	Ranger Suárez (624133)
PITCH BENCH	Braxton Garrett	Braxton Garrett (666129)
